with,without
6.182084381983323,3.8299187636964445
5.906858515695377,3.706227953679157
6.145251789346976,4.2956277260400775
6.047659951739652,4.761634124554694
5.92997574675147,4.984825489893556
6.048923656188591,4.677768556065858
5.988937883854551,4.565393272414804
5.924541002207143,4.660333434604109
6.345482827157421,4.653048902265727
6.030527922355278,4.552927692048252
6.349292320565028,4.686069896183908
6.18326263270591,4.822219555564224
6.18155498176132,4.546993689276278
6.221994338177783,4.785386962927878
6.172631857649131,4.687795125320553
6.020207891382916,4.570110920332372
5.953013649352534,4.689058829769492
6.025358218730135,4.629073057435453
6.189644788459582,4.564676175788045
5.991426663466437,4.985618000738323
6.1681972755423615,4.670663095936179
6.276567404226108,4.98942749414593
5.940693461925431,4.8233978062868115
5.9453405727750495,4.821690155342221
5.975258878835184,4.862129511758685
6.207084733538968,4.812767031230033
6.270231517136736,4.660343064963818
6.230572491206868,4.593148822933435
6.016220598698301,4.665493392311037
6.0632248634031845,4.829779962040484
6.223887288749857,4.631561837047339
6.208280906111641,4.808332449123263
5.9608744765377475,4.916702577807009
6.2414331976256205,4.580828635506332
6.032151361771567,4.585475746355951
5.883390709974511,4.615394052416086
6.337602290988608,4.84721990711987
6.2393406520343255,4.9103666907176375
6.240313304059846,4.870707664787769
6.224866715364797,4.656355772279203
5.922006596767051,4.703360036984086
6.02988067883317,4.864022462330759
6.0074662706932855,4.848416079692543
6.036081898466391,4.601009650118649
5.89163941554044,4.881568371206522
6.050515370771928,4.672286535352469
6.06583400479768,4.523525883555412
6.279108228974684,4.977737464569509
6.184071441881998,4.879475825615227
6.221022390567406,4.880448477640748
5.9713446129790375,4.865001888945699
6.2219749616763425,4.562141770347953
5.993136028230829,4.670015852414071
6.090067942619963,4.647601444274187
6.160893543504818,4.676217072047293
6.129720285267277,4.5317745891213415
6.287002004191918,4.690650544352829
6.307739056043966,4.705969178378582
5.99795011564408,4.919243402555585
6.051612189293547,4.8242066154628995
6.146506335393234,4.861157564148307
6.137192380346997,4.611479786559939
6.251552114777906,4.862110135257244
6.106888380788906,4.633271201811731
5.991037015051289,4.730203116200864
6.077352822714193,4.801028717085719
6.341742714115126,4.769855458848179
6.34867098237638,4.92713717777282
6.239369793117685,4.947874229624867
6.059880686321003,4.638085289224982
6.068133319199724,4.691747362874448
6.149188043393834,4.786641508974135
5.952545132816477,4.777327553927899
5.894121659726544,4.891687288358807
6.083282976963265,4.747023554369807
